"time","S","E","I","R"
0.27,0.552624996072795,0.1070709640757737,0.14653129843936033,0.1937727414120711
0.275,0.522567655006044,0.11018550753849071,0.15534122340177786,0.2119056140536876
0.28,0.4925264677905799,0.11256377192291894,0.16381390765922313,0.2310958526272782
0.285,0.46277251511868195,0.11413210069548806,0.17180127529172787,0.2512941088941023
0.29,0.4335732034447494,0.11483946829437272,0.17915535963258758,0.27243196862829044
0.295,0.4051825418632364,0.11466120241559048,0.18573419326835416,0.2944220624528191
0.3,0.3778320713509969,0.11360108376580524,0.19140790043972047,0.3171589444434775
0.305,0.351723157492491,0.11169153937340065,0.19606454212016042,0.340520761013948
0.31,0.32702122041074677,0.10899185709908407,0.19961524867386926,0.3643716738163
0.315,0.3038522627925505,0.10558458048527117,0.20199821681770186,0.3885649399044765
0.32,0.28230180401286387,0.10157045393070588,0.20318124437269833,0.41294649768373193
0.325,0.2624160779014281,0.09706244132315361,0.20316261543173017,0.43735886534368806
0.33,0.24420514314069763,0.09217941234364772,0.20197030950594727,0.46164513500970733
0.335,0.2276474164046702,0.08704007340946326,0.19965966668915197,0.4856528434967145
0.34,0.21269508034938797,0.08175762659386451,0.19630977417312173,0.5092375188836258
0.345,0.1992798361497636,0.07643549517768439,0.19201893091714456,0.5322657377554074
0.35,0.18731854580959506,0.07116428978974432,0.1868995890605319,0.5546175753401287
0.355,0.17671841928273876,0.06602003332748634,0.18107316403031043,0.5761883833594644
0.36,0.16738152204041198,0.061063537201779934,0.17466505888774264,0.5968898818700654
0.365,0.15920849127951553,0.056340736877676094,0.16780017532514463,0.6166505965176637
0.37,0.1521014414631738,0.05188375246246599,0.16059909807265205,0.6354157080017081
0.375,0.1459661070815326,0.0477124343600267,0.15317505398637113,0.6531464045720695
0.38,0.1407133125766642,0.043836175030705894,0.14563167126285834,0.6698188411297715
0.385,0.13625987989100874,0.04025580503206079,0.13806150377870122,0.6854228112982292
0.39,0.13252908825809018,0.03696543532974648,0.13054524268529935,0.699960233726864
0.395,0.12945079401544093,0.03395415122050798,0.12315151154591047,0.7134435432181406
0.4,0.12696130505405773,0.031207501522542667,0.11593713014222434,0.7258940632811752
0.405,0.12500308862798842,0.02870875765965789,0.10894773237008397,0.7373404213422696
0.41,0.12352437511807285,0.0264399403176527,0.102218631978329,0.7478170525859453
0.415,0.12247870549225268,0.02438262703454384,0.09577584316545923,0.7573628243077442
0.42,0.12182445740256138,0.02251856355799576,0.0896371786704851,0.7660198003689577
0.425,0.12152437436009787,0.020830106439210752,0.08381336404829255,0.7738321551523988
0.43,0.12154511416561695,0.019300525473253987,0.07830912198804289,0.7808452383730862
